GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,Writer,0,93,0,0,0,18,0,3,0,3
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,Reader,0,96,1,1,0,19,1,3,0,3
Modul na klasy uzytkowe,pl.edu.agh.kis.pz1.util,Library,0,117,0,12,0,39,0,16,0,10
